"qa-api-testrun-policy","03/25/2022 at 03:45:27 (GMT-0700)"
"peoplereign.io","5205 Prospect Dr. 135-381",,"San Jose","California","United States of America","95129"
"Prem Kasha","peper6pk","Manager"
SUMMARY
Policy Title,Policy Locking,Policy Modified,Policy Last Evaluated,Asset Groups,IPs,Asset Tags,Host Instance,PC Agent IPs,Technologies,Controls,Assets,Control Instances,Passed,Failures,Error,Approved Exceptions,Pending Exceptions
"CIS Benchmark for Red Hat Enterprise Linux 7, v3.1.1 [Automated and Manual, Level 1 and Level 2] v.4.0","Locked - CIS Certified Policy","03/18/2022 at 10:05:03 (GMT-0700)","03/25/2022 at 03:25:03 (GMT-0700)",,"N/A",,"10.10.50.6 (os)","No","Red Hat Enterprise Linux 7.x","458","1","458","378 (82.53%)","80 (17.47%)","0","0","0"
HOST STATISTICS
IP Address,Tracking Method,DNS Name,Netbios Name,Operating System,Last Scan Date,Percentage,Qualys Host ID,Host ID
"10.10.50.6","AGENT","audit-test.home.private","'-","Red Hat Enterprise Linux Server 7.9","03/25/2022 at 01:09:43 (GMT-0700)","82.53% (378 of 458)","726bdae6-9d4e-481d-bc57-5fffd87b0157","1393891"
ASSET TAGS
"10.10.50.6","Cloud Agent","Corp"
RESULTS
Host IP,DNS Hostname,NetBIOS Hostname,Tracking Method,Operating System,NETWORK,Last Scan Date,Evaluation Date,Control ID,Technology,Control,Criticality Label,Criticality Value,Rationale,Status,Remediation,Deprecated,Evidence,Exception Assignee,Exception Status,Exception End Date,Exception Creator,Exception Created Date,Exception Modifier,Exception Modified Date,Exception Comments History,Qualys Host ID
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17541","Red Hat Enterprise Linux 7.x","Status of the 'unlinkat' syscall parameter defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The 'unlinkat' syscall parameter eliminates a directory based upon the directory file descriptor.  As there several well known DoS and kernel-bypassing exploits involving extended attributes. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Passed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>unlinkat</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
\bunlinkat\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12851","Red Hat Enterprise Linux 7.x","List of runtime audit rules for 'unlink', using auditctl","SERIOUS","3","The 'unlink' syscall parameter removes name(s) from the file system. Provided there were no processes using the file and the name was the last link to the open file, it is deleted, If the name referred to a symbolic link, the link is removed. As there several well known DoS and kernel-bypassing exploits involving extended attributes, the 'unlink' syscall parameter should be configured according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>unlink</b> system call. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
\bunlink\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:unlink([[:blank:]]|,|$),-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17540","Red Hat Enterprise Linux 7.x","Status of the 'unlink' syscall parameter defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The 'unlink' syscall parameter removes name(s) from the file system. Provided there were no processes using the file and the name was the last link to the open file, it is deleted. There several well known DoS and kernel-bypassing exploits involving extended attributes. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Passed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>unlink</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
\bunlink\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12856","Red Hat Enterprise Linux 7.x","List of runtime audit rules for '/etc/sudoers' file, using auditctl","SERIOUS","3","If the system has been properly configured to force system administrators to log in as themselves first and then use the sudo command to execute privileged commands, it is possible to monitor changes in scope, determines the behavior of the audit capture of 'sudo' user activities.  As failing to capture sufficient audit data of 'sudo' activities can reduce the effectiveness of audit forensic investigation, this value should be set according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>/etc/sudoers</b> file. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
[= ]/etc/sudoers\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-w /etc/sudoers -p wa -k scope
-w /etc/sudoers -p wa -k sudo_actions

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:/etc/sudoers([[:blank:]]|,|$),-w /etc/sudoers -p wa -k sudo_actions
Row 3:/etc/sudoers([[:blank:]]|,|$),-w /etc/sudoers -p wa -k scope",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17544","Red Hat Enterprise Linux 7.x","Status of the 'changes to content or attributes' of the '/etc/sudoers' as defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The audit parameters for '/etc/sudoers' as defined in the audit configuration determines the behavior of the audit capture of 'sudo' user activities. Failing to capture sufficient audit data of 'sudo' activities can reduce the effectiveness of audit forensic investigation. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Passed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>/etc/sudoers</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
[= ]/etc/sudoers\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-w /etc/sudoers -p wa -k scope
-w /etc/sudoers -p wa -k sudo_actions

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-w /etc/sudoers -p wa -k sudo_actions
Row 3:/etc/audit/rules.d/audit.rules,-w /etc/sudoers -p wa -k scope",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12858","Red Hat Enterprise Linux 7.x","List of runtime audit rules for '/etc/sudoers.d/' directory, using auditctl","SERIOUS","3","If the system has been properly configured to force system administrators to log in as themselves first and then use the sudo command to execute privileged commands, it is possible to monitor changes in scope, determines the behavior of the audit capture of 'sudo' user activities.  As failing to capture sufficient audit data of 'sudo' activities can reduce the effectiveness of audit forensic investigation, this value should be set according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>/etc/sudoers.d/</b> directory. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
[= ]/etc/sudoers.d\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-w /etc/sudoers.d -p wa -k scope
-w /etc/sudoers.d -p wa -k sudo_actions

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:/etc/sudoers.d,-w /etc/sudoers.d -p wa -k scope
Row 3:/etc/sudoers.d,-w /etc/sudoers.d -p wa -k sudo_actions",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17545","Red Hat Enterprise Linux 7.x","Status of the '/etc/sudoers.d' setting within '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The audit parameters for '/etc/sudoers.d' as defined in the audit configuration determines the behavior of the audit capture of 'sudo' user activities. Failing to capture sufficient audit data of 'sudo' activities can reduce the effectiveness of audit forensic investigation. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Failed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>/etc/sudoers.d/</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
[= ]/etc/sudoers.d\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
Setting Not Found

======Extended Evidence======:
Row 1:File,Rule",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","18436","Red Hat Enterprise Linux 7.x","Status of the runtime audit rules defined for 'execve' syscall parameter, using auditctl","SERIOUS","3","Execve() executes the program pointed to by filename. filename must be either a binary executable, or a script starting with a line of the form ""#! interpreter [arg]"". In the latter case, the interpreter must be a valid pathname for an executable which is not itself a script, which will be invoked as interpreter [arg] filename. This setting need to be configured according to business requirements and security policies.","Passed",,"0","The following List String value(s) <B>X</B> indicates the status of runtime auditctl rules defined for the <B>execve</B> system call. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
.+\bexecve\b.+\bkey=actions\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S execve -F auid!=-1 -F key=actions

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:execve,-a always,exit -F arch=b64 -S execve -F auid!=-1 -F key=actions",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","18437","Red Hat Enterprise Linux 7.x","Status of the 'execve' syscall parameter defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","Execve() executes the program pointed to by filename. filename must be either a binary executable, or a script starting with a line of the form ""#! interpreter [arg]"". In the latter case, the interpreter must be a valid pathname for an executable which is not itself a script, which will be invoked as interpreter [arg] filename. There are several known syscall parameter exploits involving the 'execve' syscall parameter. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ directory, this syscall parameter should be configured in these files according to the needs of the business.","Failed",,"0","The following List String value(s) of <B>X</B> indicate the current status of the <B>execve</B> setting within <B>/etc/audit/rules.d/*.rules</B> files on the host.

======Expected Value(s)======
contains regular expression list
.+\bexecve\b.+\bkey=actions\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S execve -F auid>=1000 -F auid!=4294967295 -k actions

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-a always,exit -F arch=b64 -S execve -F auid>=1000 -F auid!=4294967295 -k actions",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12865","Red Hat Enterprise Linux 7.x","List of runtime audit rules for '/sbin/insmod' file, using auditctl","SERIOUS","3","The '/sbin/insmod' load kernel module , which will trigger an audit record. Monitoring and audit of this kernel module enables identification of unauthorized kernel activity on the host.  As there are several well known kernel exploits, this should be carefully configured according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>/sbin/insmod</b> file. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
[= ]/sbin/insmod\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-w /sbin/insmod -p x -k modules
-w /sbin/insmod -p x -k module_insertion

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:/sbin/insmod,-w /sbin/insmod -p x -k module_insertion
Row 3:/sbin/insmod,-w /sbin/insmod -p x -k modules",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
